Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),App Servers,Amazon EC2,0,1241.4,14896.80,USD,"Operating system (Linux), Quantity (5), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (r4.2xlarge)"
My Estimate,US East (Ohio),Web Servers,Amazon EC2,0,811.17,9734.04,USD,"Operating system (Linux), Quantity (5), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (c6gn.2xlarge)"
My Estimate,US East (Ohio),DB Servers,Amazon RDS for MySQL,0,6227.360000000001,74728.32,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (1), Instance type (db.m5.12xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (Ohio),S3 for CloudFront and static content,S3 Standard,0,275.23,3302.76,USD,S3 Standard storage (9 TB per month)
My Estimate,US East (Ohio),S3 for CloudFront and static content,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (0 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (Ohio),,Application Load Balancer,0,250.03,3000.36,USD,Number of Application Load Balancers (1)
My Estimate,US East (Ohio),,Network Load Balancer,0,28.72,344.64,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (2 TB per month), Average number of new TCP connections (1000 per second), Average TCP connection duration (60 seconds)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
